TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ALUP11;32,63;2,57;9,65;1,16;0,31;66,96;67,25;25,17;3,61;6,74;3,13;1,00;2,43;1,86;-0,41;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;33.574.117,78;28,17;3,38;-7,23;10.755.724.670,21
ALUP3;12,39;2,26;10,99;1,32;0,36;66,96;67,25;25,17;4,11;6,74;3,13;1,00;2,77;2,12;-0,47;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;58.475,26;9,39;1,13;-8,24;10.755.724.670,21
ALUP4;10,23;2,74;9,07;1,09;0,29;66,96;67,25;25,17;3,40;6,74;3,13;1,00;2,28;1,75;-0,39;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;174.218,73;9,39;1,13;-6,80;10.755.724.670,21
AMAR3;0,64;;-2,08;2,55;0,16;52,58;10,01;-10,75;2,23;7,71;5,48;6,27;0,22;-0,74;-0,22;0,56;-122,78;-7,76;15,07;0,06;0,94;0,72;-7,06;;137.975,91;0,25;-0,31;0,49;328.650.433,28
AMBP3;0,17;;-1,11;0,26;0,02;18,22;17,36;-3,54;0,23;5,28;5,06;5,81;0,04;0,06;-0,03;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;771.189,32;0,65;-0,15;0,06;283.971.177,30
AMER3;5,04;;1,82;0,23;0,06;26,50;3,34;4,49;2,45;6,14;3,69;0,34;0,08;0,36;-0,12;1,56;12,51;3,43;4,51;0,27;0,73;0,76;3,98;;9.583.320,43;22,12;2,77;-0,02;1.009.236.201,12
AMOB3;14,17;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;740.851,36;;;;0,00
ANIM3;3,32;2,45;9,99;0,56;0,13;63,13;24,93;3,27;1,31;5,36;4,05;1,73;0,33;1,04;-0,17;1,90;5,62;1,27;11,57;0,23;0,72;0,39;23,12;;25.061.248,36;5,92;0,33;0,65;1.340.844.432,60
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,36;0,02;0,01;100,00;37,36;22,45;0,22;0,42;-1,77;-0,12;0,08;0,02;-0,01;3,99;4,24;2,03;1,80;0,48;0,52;0,09;20,51;-30,97;;13.019,79;551,44;-0,01;37.417.457,40
APTI4;2.930,92;;5,32;0,23;0,11;100,00;37,36;22,45;3,19;0,42;-1,77;-0,12;1,19;0,31;-0,20;3,99;4,24;2,03;1,80;0,48;0,52;0,09;20,51;-30,97;;13.019,79;551,44;-0,09;37.417.457,40
ARML3;3,62;17,11;24,79;0,98;0,22;32,22;23,57;2,66;2,80;7,63;4,83;1,69;0,66;1,16;-0,35;2,16;3,96;0,90;8,42;0,23;0,76;0,34;76,15;23,61;6.147.193,74;3,69;0,15;-0,41;1.254.308.631,14
ARND3;0,66;;-0,21;0,79;0,32;92,02;-529,90;-511,85;-0,21;-0,20;0,01;-0,02;1,09;0,76;-0,84;3,05;-374,35;-149,67;-202,23;0,40;0,54;0,29;22,22;;1.401,36;0,83;-3,11;0,00;93.054.591,96
ASAI3;8,75;1,19;16,92;2,01;0,25;17,44;5,16;0,90;2,96;5,97;3,00;2,04;0,15;7,31;-0,40;1,10;11,89;1,48;17,18;0,12;0,88;1,64;16,49;-12,92;114.572.903,09;4,35;0,52;-1,11;11.843.398.542,50
AUAU3;3,22;0,94;;;;;;;;;;;;;;;;;;;;;;;11.310.031,77;;;;0,00
AURE3;12,37;;-10,04;1,09;0,27;13,55;9,24;-9,73;10,57;27,07;16,50;1,70;0,98;17,60;-0,33;1,11;-10,86;-2,73;3,22;0,25;0,72;0,28;41,69;;36.953.791,39;11,34;-1,23;0,00;12.993.175.538,38
AVLL3;0,63;;-0,91;-0,56;0,09;34,70;21,53;-23,55;1,00;5,66;4,66;;0,22;-1,12;-0,16;0,82;-60,73;-10,31;18,26;-0,17;1,16;0,44;26,55;;17.669,91;-1,13;-0,69;0,00;123.057.938,43
AXIA3;52,25;6,98;15,97;1,26;0,54;47,02;15,92;21,89;21,96;29,23;6,61;0,38;3,50;5,25;-0,68;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;510.593.572,17;41,55;3,27;-9,93;156.934.080.660,14
AXIA5;64,63;5,17;19,75;1,56;0,67;47,02;15,92;21,89;27,16;29,23;6,61;0,38;4,32;6,49;-0,84;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;497,15;41,55;3,27;-12,29;156.934.080.660,14
AXIA6;57,44;6,98;17,55;1,38;0,60;47,02;15,92;21,89;24,14;29,23;6,61;0,38;3,84;5,77;-0,75;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;104.943.031,70;41,55;3,27;-10,92;156.934.080.660,14
AXIA7;50,35;;15,39;1,21;0,52;47,02;15,92;21,89;21,16;29,23;6,61;0,38;3,37;5,06;-0,65;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;160.441.332,04;41,55;3,27;-9,57;156.934.080.660,14
AZEV3;0,17;;-0,17;0,89;0,08;15,41;-83,75;-135,40;-0,27;-0,77;-0,55;1,81;0,23;-0,32;-0,11;0,55;-535,98;-45,37;-128,70;0,08;0,92;0,34;68,75;;255.322,45;0,19;-1,02;0,00;85.137.378,32
AZEV4;0,13;;-0,13;0,68;0,06;15,41;-83,75;-135,40;-0,21;-0,77;-0,55;1,81;0,17;-0,25;-0,08;0,55;-535,98;-45,37;-128,70;0,08;0,92;0,34;68,75;;420.078,91;0,19;-1,02;0,00;85.137.378,32
AZTE3;0,20;;;;;;;;;;;;;;;;;;;;;;;;559.680,77;;;;0,00
AZUL53;215,00;;17,52;-20,85;2,53;23,31;22,09;20,68;16,40;3,94;3,87;;3,62;-10,85;-3,29;0,50;-119,00;14,41;-16,10;-0,12;1,12;0,70;30,38;;55.411,00;-10,31;12,27;-0,28;353.885.633,13
AZUL54;72,50;;5,91;-7,03;0,85;23,31;22,09;20,68;5,53;3,94;3,87;;1,22;-3,66;-1,11;0,50;-119,00;14,41;-16,10;-0,12;1,12;0,70;30,38;;20.945.788,00;-10,31;12,27;-0,09;353.885.633,13
AZZA3;19,13;12,94;4,75;0,49;0,26;54,89;8,66;7,17;3,93;6,10;2,17;0,27;0,34;1,08;-0,46;2,20;10,39;5,48;1,51;0,53;0,47;0,76;49,34;76,49;53.690.213,57;38,77;4,03;0,04;3.950.150.122,69
B3SA3;16,49;3,67;16,79;4,56;1,71;90,46;60,27;42,49;11,84;11,75;-0,09;-0,03;7,13;8,88;-2,72;2,09;27,15;10,20;6,45;0,38;0,62;0,24;3,58;3,60;541.021.736,61;3,62;0,98;3,56;83.216.785.000,00
BAHI3;4,51;;-2,32;7,22;0,30;46,30;-3,46;-15,38;-10,31;-13,03;-2,72;1,91;0,36;-0,73;-0,34;0,24;-311,28;-12,87;-11,93;0,04;0,86;0,84;11,13;;16.499,00;0,62;-1,95;0,08;119.021.524,82
BALM3;25,18;15,88;12,81;1,55;0,87;63,15;16,37;9,07;7,10;5,00;-1,38;-0,30;1,16;2,06;-3,29;2,37;12,07;6,83;13,94;0,57;0,46;0,75;5,57;2,49;2.518,00;16,29;1,97;-0,34;221.627.000,00
BALM4;20,05;19,95;10,20;1,23;0,70;63,15;16,37;9,07;5,65;5,00;-1,38;-0,30;0,93;1,64;-2,62;2,37;12,07;6,83;13,94;0,57;0,46;0,75;5,57;2,49;14.865,47;16,29;1,97;-0,27;221.627.000,00
BAUH3;0,00;;0,00;0,00;0,00;24,68;8,15;7,93;0,00;;-3,27;-0,52;0,00;0,00;0,00;1,89;15,58;10,51;11,65;0,67;0,33;1,33;8,24;-0,29;;28,37;4,42;0,00;
BAUH4;93,90;;21,24;3,31;2,23;24,68;8,15;7,93;20,67;;-3,27;-0,52;1,68;8,32;-5,19;1,89;15,58;10,51;11,65;0,67;0,33;1,33;8,24;-0,29;7.303,33;28,37;4,42;-1,56;
BAZA3;69,19;;4,59;0,54;0,06;1,10;6,05;12,73;9,66;9,66;;;0,58;67,00;-0,06;;11,77;1,31;;0,11;0,89;0,10;46,47;26,06;577.730,50;128,13;15,08;-0,15;3.878.674.814,85
BBAS3;20,31;4,11;7,41;0,61;0,04;30,81;1,95;4,82;18,32;18,32;;;0,36;2,11;-0,05;9,47;8,20;0,60;;0,07;0,92;0,12;26,49;3,40;492.467.560,32;33,45;2,74;-0,20;116.393.239.352,40
BBDC3;15,50;7,21;6,99;0,91;0,07;27,28;7,91;8,15;7,20;7,72;;;0,57;0,64;-0,08;10,43;13,06;0,96;;0,07;0,93;0,12;22,38;7,93;72.168.944,30;16,97;2,22;0,30;175.862.978.589,87
BBDC4;17,71;6,90;7,99;1,04;0,08;27,28;7,91;8,15;8,23;7,72;;;0,65;0,73;-0,09;10,43;13,06;0,96;;0,07;0,93;0,12;22,38;7,93;542.289.995,52;16,97;2,22;0,34;175.862.978.589,87
BBML3;3.936,42;;-596,71;-327,52;146,41;1,68;-7,70;-19,73;-1.528,39;-1.532,94;-4,56;;117,74;-144,35;-204,86;0,22;-54,89;-24,54;-1.205,95;-0,45;1,45;1,24;18,96;;;-12,02;-6,60;-9,99;160.451.699.191,56
BBSE3;35,25;12,90;7,44;5,41;3,49;;;;6,84;6,84;;;;14,89;-5,77;2,45;72,72;46,86;;0,64;0,36;0,00;;19,01;142.031.618,22;6,51;4,74;1,17;68.434.350.000,00
BDLL3;6,00;;-0,50;-0,04;0,03;7,06;-66,46;-46,91;-0,36;-6,73;-6,46;;0,24;-0,05;-0,04;0,41;-7,55;-5,00;103,24;-0,66;1,66;0,11;18,73;;747,29;-157,91;-11,92;0,02;7.386.038,16
BDLL4;3,77;;-0,32;-0,02;0,02;7,06;-66,46;-46,91;-0,22;-6,73;-6,46;;0,15;-0,03;-0,02;0,41;-7,55;-5,00;103,24;-0,66;1,66;0,11;18,73;;14.299,32;-157,91;-11,92;0,01;7.386.038,16
BEEF3;3,66;5,35;5,14;2,91;0,09;17,06;6,99;1,25;0,92;4,35;3,43;10,86;0,06;0,63;-0,21;1,32;56,47;1,71;14,22;0,03;0,96;1,37;23,09;0,42;75.875.729,00;1,26;0,71;-0,03;3.661.977.911,58
BEES3;8,84;8,12;9,42;1,25;0,08;28,49;5,93;5,76;9,16;9,10;;;0,54;0,62;-0,09;;13,26;0,82;;0,06;0,94;0,14;28,74;8,03;70.593,00;7,08;0,94;-0,30;3.055.125.092,36
BEES4;8,66;8,51;9,23;1,22;0,08;28,49;5,93;5,76;8,97;9,10;;;0,53;0,61;-0,09;;13,26;0,82;;0,06;0,94;0,14;28,74;8,03;33.151,95;7,08;0,94;-0,30;3.055.125.092,36
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;51,50;6,44;7,42;1,22;0,09;31,02;13,02;8,21;4,68;3,79;;;0,61;12,06;-0,09;;16,51;1,22;;0,07;0,93;0,15;24,17;24,15;27.342,83;42,07;6,94;1,21;961.354.471,00
BGIP4;31,80;14,15;4,58;0,76;0,06;31,02;13,02;8,21;2,89;3,79;;;0,38;7,45;-0,06;;16,51;1,22;;0,07;0,93;0,15;24,17;24,15;38.057,00;42,07;6,94;0,75;961.354.471,00
BHIA3;1,36;;-0,83;0,41;0,04;30,06;-1,82;-5,98;-2,74;-17,12;-14,38;2,15;0,05;-0,33;-0,07;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;12.325.698,35;3,32;-1,63;0,08;1.327.176.107,60
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;7,13;;40,56;3,02;1,70;36,48;7,59;7,47;39,91;42,33;2,42;0,18;3,03;6,98;-3,87;1,77;7,44;4,20;5,48;0,56;0,44;0,56;35,63;;1.853.088,87;2,36;0,18;-0,30;975.758.210,92
BLAU3;11,39;7,43;10,90;1,16;0,74;40,44;18,65;13,82;8,07;8,13;0,06;0,01;1,51;2,33;-1,52;2,66;10,63;6,82;6,67;0,64;0,36;0,49;7,57;-0,84;2.274.743,50;9,84;1,05;-1,20;2.656.286.058,19
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;62,02;2,75;9,55;2,57;0,21;47,54;2,97;8,95;28,80;32,26;;;0,85;1,04;-0,26;;26,89;2,15;;0,08;0,92;0,24;29,99;34,51;450.597,55;24,16;6,50;0,14;8.595.715.813,16
BMEB4;85,26;2,20;13,13;3,53;0,28;47,54;2,97;8,95;39,59;32,26;;;1,17;1,43;-0,35;;26,89;2,15;;0,08;0,92;0,24;29,99;34,51;2.092.934,82;24,16;6,50;0,19;8.595.715.813,16
BMGB4;5,04;10,85;5,51;0,66;0,07;33,14;3,52;6,79;10,63;10,63;;;0,37;-0,13;-0,07;0,01;11,89;1,18;;0,10;0,90;0,17;16,75;13,57;7.572.152,61;7,68;0,91;0,05;3.267.349.827,84
BMIN3;21,49;2,38;9,14;0,71;0,16;-0,28;17,50;15,93;8,32;8,10;;;1,46;98,01;-0,16;;7,82;1,79;;0,23;0,77;0,11;44,93;35,83;4.399,00;30,06;2,35;0,25;100.931.091,73
BMIN4;17,60;7,95;7,48;0,59;0,13;-0,28;17,50;15,93;6,81;8,10;;;1,19;80,27;-0,13;;7,82;1,79;;0,23;0,77;0,11;44,93;35,83;1.498,15;30,06;2,35;0,20;100.931.091,73
BMKS3;371,99;34,96;2,84;0,82;0,67;28,02;-188,07;445,49;-6,73;-0,26;6,46;-0,79;12,65;1,04;-2,41;9,61;28,82;23,68;-29,61;0,82;0,18;0,05;-7,83;76,45;24.588,27;454,44;130,97;0,01;169.162.452,50
BMOB3;23,98;8,90;12,85;2,11;1,01;26,29;8,83;8,91;12,98;11,03;-1,95;-0,32;1,15;3,25;-3,52;1,78;16,39;7,88;12,15;0,48;0,51;0,88;58,14;34,91;18.419.782,83;11,38;1,87;0,54;2.052.889.240,16
BNBR3;107,00;6,56;3,27;0,64;0,14;50,15;48,49;30,82;2,08;2,08;;;1,01;2,05;-0,15;;19,46;4,27;;0,22;0,78;0,14;20,69;25,95;42.164,37;168,19;32,73;0,07;10.560.873.143,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;5,59;4.212.250.617,75
BOBR3;1,00;;-0,16;-0,16;0,29;39,58;13,45;-93,58;1,14;1,92;0,67;;0,15;-1,42;-0,57;0,71;-100,06;-176,85;-14,41;-1,77;2,77;1,89;8,56;;;-6,08;-6,08;0,00;282.630.782,16
BOBR4;1,18;;-0,19;-0,19;0,34;39,58;13,45;-93,58;1,35;1,92;0,67;;0,18;-1,68;-0,68;0,71;-100,06;-176,85;-14,41;-1,77;2,77;1,89;8,56;;5.948,73;-6,08;-6,08;0,00;282.630.782,16
BPAC11;53,53;2,33;11,84;2,67;0,25;21,43;29,09;26,78;10,90;10,90;;;3,17;-0,33;-0,25;0,01;22,52;2,07;;0,09;0,90;0,08;16,36;39,92;550.931.241,05;20,08;4,52;0,21;208.232.832.444,99
BPAC3;27,09;1,53;17,97;4,05;0,37;21,43;29,09;26,78;16,55;10,90;;;4,81;-0,50;-0,37;0,01;22,52;2,07;;0,09;0,90;0,08;16,36;39,92;286.419,09;6,69;1,51;0,32;208.232.832.444,99
BPAC5;13,92;2,99;9,24;2,08;0,19;21,43;29,09;26,78;8,50;10,90;;;2,47;-0,25;-0,19;0,01;22,52;2,07;;0,09;0,90;0,08;16,36;39,92;94.987,36;6,69;1,51;0,16;208.232.832.444,99
BPAN4;12,71;;41,58;2,12;0,23;34,90;0,19;2,58;565,76;565,76;;;1,07;-523,71;-0,23;0,05;5,10;0,56;;0,11;0,89;0,22;10,77;-9,00;114.514.167,00;5,99;0,31;-1,09;16.129.880.843,90
BPAR3;180,00;4,45;9,16;0,77;0,09;46,04;10,70;4,81;4,11;4,11;;;0,44;7,61;-0,09;;8,41;0,96;;0,11;0,89;0,20;19,38;-4,95;;233,59;19,66;-0,20;1.713.896.820,00
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;19,68;10,89;9,89;0,99;0,98;;;;10,91;11,82;-0,36;-0,03;;36,21;-1,02;5,99;10,00;9,94;9,06;0,99;0,01;0,00;;-11,82;894.169,83;19,90;1,99;-0,30;8.634.116.911,04
BRAP4;23,20;10,16;11,66;1,17;1,16;;;;12,87;11,82;-0,36;-0,03;;42,68;-1,20;5,99;10,00;9,94;9,06;0,99;0,01;0,00;;-11,82;44.256.825,64;19,90;1,99;-0,35;8.634.116.911,04
BRAV3;20,33;0,61;40,64;0,83;0,22;27,81;21,05;1,96;3,77;8,02;4,25;0,93;0,79;10,54;-0,27;1,12;2,04;0,55;3,26;0,27;0,73;0,28;124,40;;159.680.100,13;24,56;0,50;0,82;9.444.449.258,44
BRBI11;15,98;9,76;9,89;2,11;0,09;100,00;2,94;52,02;174,83;48,04;-126,79;-1,53;5,14;2,89;-7,85;1,03;21,38;0,93;-0,23;0,04;0,96;0,02;-23,54;13,84;5.152.115,14;7,56;1,62;-1,05;1.677.831.349,92
BRBI3;0,00;;0,00;0,00;0,00;100,00;2,94;52,02;0,00;48,04;-126,79;-1,53;0,00;0,00;0,00;1,03;21,38;0,93;-0,23;0,04;0,96;0,02;-23,54;13,84;;2,52;0,54;0,00;1.677.831.349,92
BRBI4;0,00;;0,00;0,00;0,00;100,00;2,94;52,02;0,00;48,04;-126,79;-1,53;0,00;0,00;0,00;1,03;21,38;0,93;-0,23;0,04;0,96;0,02;-23,54;13,84;;2,52;0,54;0,00;1.677.831.349,92
BRFS3;17,95;11,62;10,21;2,01;0,43;24,77;9,54;4,32;4,62;6,96;2,35;1,02;0,44;3,24;-0,84;1,38;19,69;4,23;10,48;0,21;0,77;0,98;10,51;15,13;377.952.894,00;8,93;1,76;-0,38;28.579.854.639,05
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
BRIV4;12,54;;379,07;0,65;0,04;12,70;-0,94;0,09;-36,47;-37,03;;;0,34;2,14;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,89;1.128.165.604,64
